nobel_laureate_id,laureate_full_name,known_name,author_id,author_full_name_from_authorships,pair_id,paper_id,patent_id
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W58215616|US-6440657,W58215616,US-6440657
824,Françoise Barré-Sinoussi,Françoise Barré-Sinoussi,https://openalex.org/A5107827488,Françoise Barré‐Sinoussi,W58215616|US-6440657,W58215616,US-6440657
1029,Moungi G. Bawendi,Moungi Bawendi,https://openalex.org/A5108389294,Moungi G. Bawendi,W2166471790|US-6444143,W2166471790,US-6444143
723,Paul Greengard,Paul Greengard,https://openalex.org/A5052825834,Paul Greengard,W2037490893|US-6444201,W2037490893,US-6444201
280,George A. Olah,George A. Olah,https://openalex.org/A5071446330,George A. Olah,W2096077528|US-6444343,W2096077528,US-6444343
280,George A. Olah,George A. Olah,https://openalex.org/A5071446330,George A. Olah,W1583428643|US-6444343,W1583428643,US-6444343
274,Thomas R. Cech,Thomas R. Cech,https://openalex.org/A5017573996,Thomas R. Cech,W1556517582|US-6444650,W1556517582,US-6444650
274,Thomas R. Cech,Thomas R. Cech,https://openalex.org/A5017573996,Thomas R. Cech,W2079378073|US-6444650,W2079378073,US-6444650
279,Michael Smith,Michael Smith,https://openalex.org/A5101453839,Michael J. Smith,W1587190900|US-6444787,W1587190900,US-6444787
879,Brian K. Kobilka,Brian Kobilka,https://openalex.org/A5079682203,Brian K. Kobilka,W1976820507|US-6448377,W1976820507,US-6448377
795,Robert H. Grubbs,Robert H. Grubbs,https://openalex.org/A5078597191,Robert H. Grubbs,W1532073688|US-6450642,W1532073688,US-6450642
729,Alan J. Heeger,Alan Heeger,https://openalex.org/A5087631107,Alan J. Heeger,W4231731424|US-6452218,W4231731424,US-6452218
863,Ralph M. Steinman,Ralph M. Steinman,https://openalex.org/A5113434905,Ralph M. Steinman,W2411407737|US-6455299,W2411407737,US-6455299
863,Ralph M. Steinman,Ralph M. Steinman,https://openalex.org/A5113434905,Ralph M. Steinman,W2172039135|US-6455299,W2172039135,US-6455299
1052,John M. Martinis,John M. Martinis,https://openalex.org/A5043106778,John M. Martinis,W2038557354|US-6455849,W2038557354,US-6455849
1052,John M. Martinis,John M. Martinis,https://openalex.org/A5043106778,John M. Martinis,W2132895954|US-6455849,W2132895954,US-6455849
275,Elias James Corey,Elias James Corey,https://openalex.org/A5062182194,E. J. Corey,W1990449071|US-6458825,W1990449071,US-6458825
1015,Carolyn R. Bertozzi,Carolyn Bertozzi,https://openalex.org/A5088409133,Carolyn R. Bertozzi,W1595841096|US-6458937,W1595841096,US-6458937
735,Leland H. Hartwell,Leland Hartwell,https://openalex.org/A5112821745,Leland H. Hartwell,W1985064413|US-6461807,W1985064413,US-6461807
409,Baruch S. Blumberg,Baruch S. Blumberg,https://openalex.org/A5030590633,Baruch S. Blumberg,W2276305940|US-6465487,W2276305940,US-6465487
795,Robert H. Grubbs,Robert H. Grubbs,https://openalex.org/A5078597191,Robert H. Grubbs,W2036262132|US-6465590,W2036262132,US-6465590
